number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
90,0.05713617847380009,2026-05-10 12:14:16.108226,2026-05-10 12:15:23.663765,0 days 00:01:07.555539,0,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,15,0.5,10,0.65,,,,,,PRUNED
91,-0.4578911895690503,2026-05-10 12:15:23.707003,2026-05-10 12:16:43.373654,0 days 00:01:19.666651,2,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.02,0.45,0.16,10,0.6,10,0.65,-0.09096808925935022,0.07844997079810315,0.7338462006194001,0.16941806005745336,,COMPLETE
92,-0.4192192883551941,2026-05-10 12:16:43.394542,2026-05-10 12:17:58.102945,0 days 00:01:14.708403,2,CAP_LAYER,0.45,SAME,0.8,4,0.03,0.01,0.45,0.08,10,0.5,10,0.65,-0.06918200455947283,0.12390192020783868,0.7000745675914426,0.1930839247673115,,COMPLETE
93,-0.4322596650966905,2026-05-10 12:17:58.125076,2026-05-10 12:19:38.838534,0 days 00:01:40.713458,2,NORMAL,0.45,SAME,0.8,2,0.03,0.02,0.45,0.08,10,0.5,10,0.5,-0.09790504820318972,0.12703940115552387,0.6687092337870015,0.2249444493587136,,COMPLETE
94,-0.620690944844629,2026-05-10 12:19:38.860221,2026-05-10 12:20:59.563988,0 days 00:01:20.703767,2,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,5,0.6,10,0.5,-0.23360655067067113,0.020790425665545703,0.7741687883479157,0.25439697633621683,,COMPLETE
95,-0.11178625835183412,2026-05-10 12:20:59.586060,2026-05-10 12:21:36.528019,0 days 00:00:36.941959,2,CAP_LAYER,0.45,SAME,0.8,3,0.03,0.02,0.3,0.08,8,0.6,20,0.65,,,,,,PRUNED
96,0.007993706783755147,2026-05-10 12:21:36.549350,2026-05-10 12:22:38.446662,0 days 00:01:01.897312,2,NO_NET_ADD,0.25,SAME,0.8,2,0.03,0.01,0.3,0.08,10,0.5,10,0.65,,,,,,PRUNED
97,-0.1675132704276062,2026-05-10 12:22:38.470844,2026-05-10 12:23:36.572163,0 days 00:00:58.101319,2,NORMAL,0.45,SAME,0.9,2,0.03,0.01,0.45,0.08,10,0.5,10,0.8,,,,,,PRUNED
98,-0.3845272670238281,2026-05-10 12:23:36.596728,2026-05-10 12:24:58.586549,0 days 00:01:21.989821,2,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
99,-0.36618838466223674,2026-05-10 12:24:58.609750,2026-05-10 12:26:46.947533,0 days 00:01:48.337783,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.02832273883788009,0.13656046483528977,0.6757312916487133,0.16488320367316986,,COMPLETE
100,-0.3845272670238281,2026-05-10 12:26:46.970259,2026-05-10 12:26:47.474311,0 days 00:00:00.504052,2,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
101,-0.3845272670238281,2026-05-10 12:26:47.497329,2026-05-10 12:26:48.022837,0 days 00:00:00.525508,2,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
102,-0.3845272670238281,2026-05-10 12:26:48.046216,2026-05-10 12:26:48.558073,0 days 00:00:00.511857,2,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.042875671261223984,0.1434940970869735,0.6833031915252082,0.1863697683481975,,COMPLETE
103,-0.3607067057360223,2026-05-10 12:26:48.582879,2026-05-10 12:28:06.373275,0 days 00:01:17.790396,2,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.012315058566055257,0.15188512117771696,0.6967832943399341,0.1642001797437722,,COMPLETE
104,-0.3607067057360223,2026-05-10 12:28:06.395957,2026-05-10 12:29:21.339922,0 days 00:01:14.943965,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.012315058566055257,0.15188512117771696,0.6967832943399341,0.1642001797437722,,COMPLETE
105,-0.3607067057360223,2026-05-10 12:29:21.362719,2026-05-10 12:29:21.902468,0 days 00:00:00.539749,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.012315058566055257,0.15188512117771696,0.6967832943399341,0.1642001797437722,,COMPLETE
106,-0.3607067057360223,2026-05-10 12:29:21.929124,2026-05-10 12:29:22.456658,0 days 00:00:00.527534,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,-0.012315058566055257,0.15188512117771696,0.6967832943399341,0.1642001797437722,,COMPLETE
107,-0.3910540706443796,2026-05-10 12:29:22.494649,2026-05-10 12:30:59.821999,0 days 00:01:37.327350,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.5,-0.043145019781004726,0.1594587364299871,0.6958181017267497,0.2026037562109918,,COMPLETE
108,0.09475470089667368,2026-05-10 12:30:59.844265,2026-05-10 12:31:36.337449,0 days 00:00:36.493184,0,NORMAL,0.45,SAME,0.7,4,0.05,0.02,0.3,0.08,10,0.6,20,0.65,,,,,,PRUNED
109,-0.3579850815993265,2026-05-10 12:31:36.384318,2026-05-10 12:33:20.809652,0 days 00:01:44.425334,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
110,-0.3863792049948722,2026-05-10 12:33:20.834611,2026-05-10 12:34:41.294056,0 days 00:01:20.459445,0,CAP_LAYER,0.25,SAME,0.7,3,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.05524212947315156,0.13788813723800653,0.6622741510434413,0.19313026671115807,,COMPLETE
111,-0.3579850815993265,2026-05-10 12:34:41.317425,2026-05-10 12:34:41.908021,0 days 00:00:00.590596,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
112,-0.37340605300082896,2026-05-10 12:34:41.930429,2026-05-10 12:35:58.488354,0 days 00:01:16.557925,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,12,0.5,10,0.65,-0.027816039020004908,0.13146825028902515,0.6911800279616481,0.15928428930903005,,COMPLETE
113,-0.37340605300082896,2026-05-10 12:35:58.511738,2026-05-10 12:35:59.017454,0 days 00:00:00.505716,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,12,0.5,10,0.65,-0.027816039020004908,0.13146825028902515,0.6911800279616481,0.15928428930903005,,COMPLETE
114,-0.37340605300082896,2026-05-10 12:35:59.040559,2026-05-10 12:35:59.578482,0 days 00:00:00.537923,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,12,0.5,10,0.65,-0.027816039020004908,0.13146825028902515,0.6911800279616481,0.15928428930903005,,COMPLETE
115,-0.37340605300082896,2026-05-10 12:35:59.603270,2026-05-10 12:36:00.125024,0 days 00:00:00.521754,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,12,0.5,10,0.65,-0.027816039020004908,0.13146825028902515,0.6911800279616481,0.15928428930903005,,COMPLETE
116,0.14610303205312497,2026-05-10 12:36:00.150768,2026-05-10 12:37:01.371482,0 days 00:01:01.220714,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,12,0.5,10,0.5,,,,,,PRUNED
117,0.04039789935423546,2026-05-10 12:37:01.394422,2026-05-10 12:37:56.711904,0 days 00:00:55.317482,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,10,0.5,10,0.65,,,,,,PRUNED
118,-0.3579850815993265,2026-05-10 12:37:56.749637,2026-05-10 12:39:12.324857,0 days 00:01:15.575220,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,12,0.5,10,0.65,-0.025716130904780754,0.14675736245739393,0.6645379013890915,0.17247349336217468,,COMPLETE
119,-0.4158774436165761,2026-05-10 12:39:12.347754,2026-05-10 12:40:28.785050,0 days 00:01:16.437296,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.6,0.08,12,0.5,10,0.65,-0.07896263234908649,0.15339382547541197,0.6738296225349792,0.23235645782449846,,COMPLETE
120,0.17617730946895205,2026-05-10 12:40:28.807915,2026-05-10 12:41:22.827516,0 days 00:00:54.019601,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.45,0.08,8,0.5,10,0.65,,,,,,PRUNED
121,0.19673785984736852,2026-05-10 12:41:22.849918,2026-05-10 12:44:52.904369,0 days 00:03:30.054451,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,8,0.6,5,0.65,,,,,,PRUNED
122,0.11175050754642646,2026-05-10 12:44:52.926973,2026-05-10 12:45:28.291951,0 days 00:00:35.364978,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,12,0.5,20,0.65,,,,,,PRUNED
123,-0.37119805960525876,2026-05-10 12:45:28.315074,2026-05-10 12:46:49.747678,0 days 00:01:21.432604,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,12,0.6,10,0.65,-0.009662200024532584,0.14810678155166604,0.7230717191614523,0.15776898157619862,,COMPLETE
124,0.0658961610183939,2026-05-10 12:46:49.770940,2026-05-10 12:47:57.202948,0 days 00:01:07.432008,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,15,0.6,10,0.65,,,,,,PRUNED
125,0.22263116228184784,2026-05-10 12:47:57.225700,2026-05-10 12:48:54.653396,0 days 00:00:57.427696,0,NORMAL,0.35,SAME,0.7,2,0.05,0.02,0.45,0.12,10,0.6,10,0.65,,,,,,PRUNED
126,0.19107087681348156,2026-05-10 12:48:54.677894,2026-05-10 12:49:42.299078,0 days 00:00:47.621184,0,NORMAL,0.45,SAME,0.7,3,0.05,0.02,0.45,0.16,12,0.6,10,0.65,,,,,,PRUNED
127,0.04986223900320298,2026-05-10 12:49:42.322419,2026-05-10 12:50:12.595836,0 days 00:00:30.273417,2,CAP_LAYER,0.45,ETF_DEFENSIVE,0.8,2,0.03,0.01,0.45,0.12,10,0.6,20,0.5,,,,,,PRUNED
128,-0.4232464108429681,2026-05-10 12:50:12.621063,2026-05-10 12:52:44.905961,0 days 00:02:32.284898,1,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.3,0.12,12,0.6,10,0.65,-0.06106594527541,0.11622578614425712,0.7243609311351162,0.17729173141966711,,COMPLETE
129,0.067379295887533,2026-05-10 12:52:44.928732,2026-05-10 12:53:55.814407,0 days 00:01:10.885675,0,NORMAL,0.25,SAME,0.7,2,0.05,0.02,0.45,0.08,15,0.6,10,0.65,,,,,,PRUNED
130,-9999.0,2026-05-10 12:53:55.837209,2026-05-10 12:53:56.142784,0 days 00:00:00.305575,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
131,-0.37275978604723914,2026-05-10 12:53:56.165312,2026-05-10 12:55:12.640885,0 days 00:01:16.475573,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.12,12,0.5,10,0.65,-0.02958548136612141,0.13782805240866444,0.6863486093622354,0.16741353377478585,,COMPLETE
132,-9999.0,2026-05-10 12:55:12.663585,2026-05-10 12:55:12.965357,0 days 00:00:00.301772,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.08,5,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
133,0.11122727386886286,2026-05-10 12:55:12.990082,2026-05-10 12:55:53.622615,0 days 00:00:40.632533,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,12,0.6,20,0.65,,,,,,PRUNED
134,-0.3587112604940638,2026-05-10 12:55:53.863598,2026-05-10 12:57:32.315061,0 days 00:01:38.451463,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,10,0.6,10,0.65,-0.007785561565759587,0.15456984826456957,0.7018513978566084,0.16235540983032914,,COMPLETE
135,0.22982299585841356,2026-05-10 12:57:32.338760,2026-05-10 12:58:14.410798,0 days 00:00:42.072038,1,NORMAL,0.45,SAME,0.7,3,0.05,0.02,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
136,-0.36572356105535375,2026-05-10 12:58:14.436802,2026-05-10 12:59:33.037715,0 days 00:01:18.600913,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
137,-0.36572356105535375,2026-05-10 12:59:33.059767,2026-05-10 12:59:33.601155,0 days 00:00:00.541388,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
138,-0.36572356105535375,2026-05-10 12:59:33.623609,2026-05-10 12:59:34.140850,0 days 00:00:00.517241,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
139,-0.3671268509984072,2026-05-10 12:59:34.164528,2026-05-10 13:00:48.139442,0 days 00:01:13.974914,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.022125269738497284,0.1510183424514511,0.6900031625198199,0.1731436121899484,,COMPLETE
140,-0.36572356105535375,2026-05-10 13:00:48.174943,2026-05-10 13:00:48.759338,0 days 00:00:00.584395,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
141,-0.3671268509984072,2026-05-10 13:00:48.784041,2026-05-10 13:00:49.292223,0 days 00:00:00.508182,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.022125269738497284,0.1510183424514511,0.6900031625198199,0.1731436121899484,,COMPLETE
142,-0.36572356105535375,2026-05-10 13:00:49.316668,2026-05-10 13:00:49.860361,0 days 00:00:00.543693,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
143,0.12290404001035904,2026-05-10 13:00:49.883881,2026-05-10 13:01:33.065691,0 days 00:00:43.181810,0,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,10,0.6,10,0.65,,,,,,PRUNED
144,-0.3718104872923924,2026-05-10 13:01:33.089391,2026-05-10 13:02:48.060791,0 days 00:01:14.971400,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.02,0.6,0.08,10,0.5,10,0.65,-0.03314890009764403,0.13569095476826795,0.6773231743894967,0.16883985486591196,,COMPLETE
145,0.20233041603713883,2026-05-10 13:02:48.082996,2026-05-10 13:03:41.414939,0 days 00:00:53.331943,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.02,0.6,0.08,8,0.6,10,0.65,,,,,,PRUNED
146,-0.12014168584418827,2026-05-10 13:03:41.438676,2026-05-10 13:04:43.122234,0 days 00:01:01.683558,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.8,,,,,,PRUNED
147,0.20599291854597673,2026-05-10 13:04:43.145285,2026-05-10 13:05:26.192842,0 days 00:00:43.047557,0,NORMAL,0.45,SAME,0.9,2,0.05,0.02,0.45,0.16,10,0.6,10,0.65,,,,,,PRUNED
148,-0.41910888950883035,2026-05-10 13:05:26.215538,2026-05-10 13:06:40.326268,0 days 00:01:14.110730,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.02,0.6,0.08,10,0.7,10,0.65,-0.047577996230815635,0.16738300530800113,0.7430617865560294,0.21496100153881675,,COMPLETE
149,0.17541236661274903,2026-05-10 13:06:40.366466,2026-05-10 13:07:12.807232,0 days 00:00:32.440766,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,0.6,20,0.65,,,,,,PRUNED
150,-0.36932407575864995,2026-05-10 13:07:12.831555,2026-05-10 13:09:01.075210,0 days 00:01:48.243655,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,12,0.6,10,0.65,-0.01802856257536432,0.16723923299614857,0.7025910263665712,0.18526779557151288,,COMPLETE
151,-0.3671268509984072,2026-05-10 13:09:01.101259,2026-05-10 13:09:01.646415,0 days 00:00:00.545156,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.022125269738497284,0.1510183424514511,0.6900031625198199,0.1731436121899484,,COMPLETE
152,-0.36572356105535375,2026-05-10 13:09:01.670215,2026-05-10 13:10:19.529666,0 days 00:01:17.859451,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.6,10,0.65,-0.017516991913341756,0.15066334423728964,0.696413138284024,0.16818033615063138,,COMPLETE
153,0.11688170800096218,2026-05-10 13:10:19.572393,2026-05-10 13:10:51.952009,0 days 00:00:32.379616,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.6,0.08,10,0.6,10,0.65,,,,,,PRUNED
154,0.21682811823660708,2026-05-10 13:10:51.970911,2026-05-10 13:14:20.072965,0 days 00:03:28.102054,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,10,0.6,5,0.65,,,,,,PRUNED
155,-0.38031961971212336,2026-05-10 13:14:20.115902,2026-05-10 13:15:38.186675,0 days 00:01:18.070773,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.16,10,0.6,10,0.65,-0.022999404234660292,0.13579248118999956,0.7146404309549261,0.15879188542465986,,COMPLETE
156,0.11282566203871344,2026-05-10 13:15:38.213265,2026-05-10 13:16:20.766309,0 days 00:00:42.553044,2,NO_NET_ADD,0.35,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,10,0.65,,,,,,PRUNED
157,-0.37489307306813185,2026-05-10 13:16:20.787589,2026-05-10 13:17:35.034879,0 days 00:01:14.247290,0,NORMAL,0.45,SAME,0.7,2,0.03,0.02,0.45,0.08,10,0.6,10,0.65,-0.029714881400651674,0.14523020572043496,0.6903563833349604,0.17494508712108664,,COMPLETE
158,0.24090170418285986,2026-05-10 13:17:35.060328,2026-05-10 13:18:17.603861,0 days 00:00:42.543533,1,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
159,-0.38929852085077676,2026-05-10 13:18:17.625105,2026-05-10 13:19:31.016200,0 days 00:01:13.391095,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.6,0.08,10,0.6,10,0.65,-0.03729440059439188,0.14015750305157867,0.7040082405127698,0.17745190364597055,,COMPLETE
160,0.21059122406365097,2026-05-10 13:19:31.063999,2026-05-10 13:20:14.298407,0 days 00:00:43.234408,0,NORMAL,0.45,SAME,0.7,3,0.03,0.01,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
161,-0.38253157006859334,2026-05-10 13:20:14.322027,2026-05-10 13:21:28.348407,0 days 00:01:14.026380,2,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.6,0.08,10,0.6,10,0.65,-0.035184497789295825,0.1380233508620827,0.694694144558595,0.17320784865137853,,COMPLETE
162,0.15969345483654385,2026-05-10 13:21:28.371551,2026-05-10 13:22:06.509316,0 days 00:00:38.137765,0,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,10,0.6,20,0.65,,,,,,PRUNED
163,-0.12772345904403512,2026-05-10 13:22:06.535473,2026-05-10 13:23:08.363483,0 days 00:01:01.828010,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,12,0.5,10,0.8,,,,,,PRUNED
164,-0.36730018820769583,2026-05-10 13:23:08.387866,2026-05-10 13:24:55.524944,0 days 00:01:47.137078,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.6,0.08,12,0.5,10,0.65,-0.026122810284141065,0.12606262297690202,0.6823547558471096,0.15218543326104308,,COMPLETE
165,-0.3112324678488298,2026-05-10 13:24:55.548510,2026-05-10 13:25:31.658470,0 days 00:00:36.109960,0,NORMAL,0.45,ETF_DEFENSIVE,0.7,4,0.05,0.02,0.45,0.08,5,0.6,10,0.65,,,,,,PRUNED
166,-0.361992100497066,2026-05-10 13:25:31.685630,2026-05-10 13:27:11.871084,0 days 00:01:40.185454,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
167,0.148837852340563,2026-05-10 13:27:11.895869,2026-05-10 13:28:13.044879,0 days 00:01:01.149010,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.45,0.08,12,0.5,10,0.5,,,,,,PRUNED
168,-0.361992100497066,2026-05-10 13:28:13.067862,2026-05-10 13:28:13.598564,0 days 00:00:00.530702,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
169,-0.361992100497066,2026-05-10 13:28:13.622780,2026-05-10 13:28:14.147945,0 days 00:00:00.525165,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,-0.022469269543597768,0.15015843888996663,0.6790456619069364,0.1726277084335644,,COMPLETE
170,-0.3933297839070818,2026-05-10 13:28:14.169347,2026-05-10 13:29:28.597964,0 days 00:01:14.428617,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.16,10,0.5,10,0.65,-0.04399642390222558,0.10998519061535918,0.6986667200097124,0.15398161451758474,,COMPLETE
171,-0.37608443420410076,2026-05-10 13:29:28.621588,2026-05-10 13:31:09.242637,0 days 00:01:40.621049,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.5,-0.03784091528318988,0.1522305192216396,0.6764870378418217,0.1900714345048295,,COMPLETE
172,-9999.0,2026-05-10 13:31:09.284473,2026-05-10 13:31:09.574766,0 days 00:00:00.290293,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.08,10,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
173,0.2516117937514923,2026-05-10 13:31:09.600137,2026-05-10 13:31:52.670554,0 days 00:00:43.070417,0,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,,,,,,PRUNED
174,0.0937963091514585,2026-05-10 13:31:52.696367,2026-05-10 13:32:24.218784,0 days 00:00:31.522417,2,NORMAL,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.02,0.45,0.12,10,0.6,10,0.65,,,,,,PRUNED
175,-0.39447039141871504,2026-05-10 13:32:24.242699,2026-05-10 13:33:38.418238,0 days 00:01:14.175539,0,CAP_LAYER,0.35,SAME,0.8,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,-0.051319831000454785,0.1326175354895607,0.6863011208365205,0.1839373664900155,,COMPLETE
176,0.04402964965839036,2026-05-10 13:33:38.441368,2026-05-10 13:34:13.385121,0 days 00:00:34.943753,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.02,0.6,0.08,10,0.6,10,0.5,,,,,,PRUNED
177,0.13437190458794085,2026-05-10 13:34:13.409829,2026-05-10 13:34:58.774144,0 days 00:00:45.364315,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.45,0.08,12,0.5,10,0.65,,,,,,PRUNED
178,-0.36641324419571814,2026-05-10 13:34:58.797282,2026-05-10 13:36:12.549439,0 days 00:01:13.752157,0,CAP_LAYER,0.45,SAME,0.7,4,0.05,0.01,0.6,0.08,10,0.6,10,0.65,-0.021694652470348234,0.1431534729321295,0.6894371834507398,0.16484812540247773,,COMPLETE
179,0.2516117937514923,2026-05-10 13:36:12.574960,2026-05-10 13:36:55.502127,0 days 00:00:42.927167,2,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.5,10,0.65,,,,,,PRUNED
180,-0.16052495496849373,2026-05-10 13:36:55.524174,2026-05-10 13:38:08.625502,0 days 00:01:13.101328,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.45,0.08,15,0.6,10,0.8,,,,,,PRUNED
181,0.09036739277987987,2026-05-10 13:38:08.650067,2026-05-10 13:38:39.556247,0 days 00:00:30.906180,0,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,4,0.05,0.01,0.6,0.08,10,0.6,10,0.65,,,,,,PRUNED
182,0.2490616097472632,2026-05-10 13:38:39.583593,2026-05-10 13:39:21.404125,0 days 00:00:41.820532,0,CAP_LAYER,0.45,SAME,0.8,4,0.05,0.01,0.6,0.08,10,0.6,10,0.65,,,,,,PRUNED
183,0.2246921545915283,2026-05-10 13:39:21.427984,2026-05-10 13:40:04.495930,0 days 00:00:43.067946,2,NORMAL,0.45,SAME,0.7,2,0.05,0.02,0.45,0.16,10,0.6,10,0.65,,,,,,PRUNED
184,-0.41875719476873013,2026-05-10 13:40:04.520644,2026-05-10 13:41:22.823173,0 days 00:01:18.302529,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.6,0.08,10,0.6,10,0.65,-0.06484855488701773,0.14322059155768072,0.7078172797634248,0.20806914644469843,,COMPLETE
185,-0.3797177392884748,2026-05-10 13:41:22.845401,2026-05-10 13:42:36.584130,0 days 00:01:13.738729,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,10,0.6,10,0.65,-0.023000603341976716,0.13788547338275542,0.7134342718929961,0.16088607672473212,,COMPLETE
186,-0.35800707382383007,2026-05-10 13:42:36.606017,2026-05-10 13:43:54.977643,0 days 00:01:18.371626,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.08,10,0.5,10,0.65,-0.01669407423547967,0.14637210748345536,0.6826259991767007,0.16306618171893503,,COMPLETE
