number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
19,-0.5247733690195839,2026-05-10 10:59:09.450367,2026-05-10 11:00:27.670970,0 days 00:01:18.220603,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,4,0.05,0.01,0.45,0.08,12,0.6,5,0.65,-0.2403446696506639,0.060436698459733255,0.56885739873784,0.30078136811039713,,COMPLETE
20,-0.30393868858866185,2026-05-10 11:00:27.691304,2026-05-10 11:00:56.742143,0 days 00:00:29.050839,0,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,2,0.05,0.02,0.45,0.12,5,0.6,10,0.65,,,,,,PRUNED
21,-0.0009929532753972792,2026-05-10 11:00:56.765402,2026-05-10 11:01:53.985190,0 days 00:00:57.219788,2,CAP_LAYER,0.25,ETF_DEFENSIVE,0.7,4,0.05,0.01,0.45,0.12,12,0.6,5,0.65,,,,,,PRUNED
22,-0.5051052965149198,2026-05-10 11:01:54.009203,2026-05-10 11:02:47.019491,0 days 00:00:53.010288,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.45,0.08,12,0.6,10,0.65,-0.1742733944985791,0.08426890221058972,0.6616638040326813,0.25854229670916884,,COMPLETE
23,-0.0006232083994116983,2026-05-10 11:02:47.041293,2026-05-10 11:03:55.746797,0 days 00:01:08.705504,0,CAP_LAYER,0.35,ETF_DEFENSIVE,0.8,2,0.05,0.01,0.45,0.12,12,0.5,5,0.5,,,,,,PRUNED
24,-0.5432725694401686,2026-05-10 11:03:55.767832,2026-05-10 11:04:40.446442,0 days 00:00:44.678610,2,NORMAL,0.35,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.6,0.16,12,0.6,10,0.65,-0.19075727953509639,0.03781258569347268,0.7050305798101444,0.22856986522856906,,COMPLETE
25,-0.2773573604874997,2026-05-10 11:04:40.467539,2026-05-10 11:05:40.265857,0 days 00:00:59.798318,1,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,2,0.05,0.01,0.45,0.12,5,0.6,5,0.8,,,,,,PRUNED
26,-0.48495437073205727,2026-05-10 11:05:40.288024,2026-05-10 11:06:24.557301,0 days 00:00:44.269277,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,3,0.03,0.01,0.45,0.08,12,0.5,10,0.65,-0.18105007556920158,0.061169403987455497,0.6078085903257113,0.24221947955665707,,COMPLETE
27,-0.08974939126832174,2026-05-10 11:06:24.579211,2026-05-10 11:07:06.221810,0 days 00:00:41.642599,2,NO_NET_ADD,0.35,ETF_DEFENSIVE,0.8,4,0.03,0.01,0.45,0.08,12,0.6,10,0.5,,,,,,PRUNED
28,-0.18579628297210754,2026-05-10 11:07:06.239715,2026-05-10 11:07:50.274381,0 days 00:00:44.034666,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,3,0.03,0.01,0.45,0.12,12,0.5,10,0.8,,,,,,PRUNED
29,-9999.0,2026-05-10 11:07:50.295899,2026-05-10 11:07:50.601599,0 days 00:00:00.305700,2,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,3,0.03,0.01,0.3,0.08,12,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
30,-9999.0,2026-05-10 11:07:50.623831,2026-05-10 11:07:50.915496,0 days 00:00:00.291665,0,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.45,0.08,12,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.35 / 0.7 / 0.7,COMPLETE
31,0.05967048146281201,2026-05-10 11:07:50.961381,2026-05-10 11:08:48.024790,0 days 00:00:57.063409,1,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.3,0.08,12,0.5,5,0.65,,,,,,PRUNED
32,-0.4972029713051794,2026-05-10 11:08:48.048143,2026-05-10 11:09:32.387194,0 days 00:00:44.339051,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.8,3,0.03,0.01,0.6,0.08,12,0.5,10,0.65,-0.20259012011090677,0.0724120256868442,0.5892257023885452,0.27500214579775095,,COMPLETE
33,-0.5397655832596808,2026-05-10 11:09:32.412188,2026-05-10 11:10:16.941058,0 days 00:00:44.528870,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.9,3,0.03,0.02,0.6,0.08,12,0.5,10,0.65,-0.23154487589666187,0.07829607035734676,0.616441414726038,0.3098409462540086,,COMPLETE
34,-0.4294457817755515,2026-05-10 11:10:16.962226,2026-05-10 11:13:11.806172,0 days 00:02:54.843946,2,CAP_LAYER,0.35,SAME,0.7,3,0.05,0.01,0.45,0.08,12,0.5,10,0.65,-0.08562009468846966,0.12157647708169954,0.6876513741741637,0.2071965717701692,,COMPLETE
35,0.07075613240985257,2026-05-10 11:13:11.829377,2026-05-10 11:13:53.297000,0 days 00:00:41.467623,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,3,0.05,0.01,0.45,0.08,10,0.5,10,0.65,,,,,,PRUNED
36,-0.0367218643957815,2026-05-10 11:13:53.319333,2026-05-10 11:14:50.144310,0 days 00:00:56.824977,2,CAP_LAYER,0.25,ETF_DEFENSIVE,0.8,3,0.03,0.01,0.6,0.08,12,0.5,5,0.65,,,,,,PRUNED
37,-0.3947819177135777,2026-05-10 11:14:50.166953,2026-05-10 11:16:05.683443,0 days 00:01:15.516490,2,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.01,0.45,0.08,12,0.5,10,0.65,-0.06018639712934789,0.1312295588241605,0.6691910411684596,0.1914159559535084,,COMPLETE
38,-0.5639681187174457,2026-05-10 11:16:05.705642,2026-05-10 11:17:40.612823,0 days 00:01:34.907181,2,NORMAL,0.45,SAME,0.7,3,0.05,0.01,0.45,0.08,8,0.5,10,0.65,-0.21315736495088106,0.08174376313532468,0.7016215075331292,0.2949011280862057,,COMPLETE
39,-0.554526458847527,2026-05-10 11:17:40.638646,2026-05-10 11:18:56.989586,0 days 00:01:16.350940,2,CAP_LAYER,0.45,SAME,0.9,3,0.05,0.01,0.45,0.16,12,0.5,10,0.65,-0.18874918565840973,0.07864123648758094,0.7315545463782346,0.2673904221459907,,COMPLETE
40,-0.42933673506730863,2026-05-10 11:18:57.013349,2026-05-10 11:20:12.676765,0 days 00:01:15.663416,2,CAP_LAYER,0.35,SAME,0.7,3,0.05,0.02,0.3,0.08,12,0.5,10,0.65,-0.0855488803728407,0.1215609506135289,0.6875757093889359,0.2071098309863696,,COMPLETE
41,-0.17674579847103883,2026-05-10 11:20:12.700342,2026-05-10 11:21:13.376733,0 days 00:01:00.676391,2,CAP_LAYER,0.35,SAME,0.7,3,0.05,0.02,0.3,0.08,12,0.5,10,0.8,,,,,,PRUNED
42,0.05610464291105105,2026-05-10 11:21:13.399389,2026-05-10 11:21:52.585928,0 days 00:00:39.186539,2,CAP_LAYER,0.35,SAME,0.8,3,0.03,0.01,0.45,0.08,12,0.5,20,0.65,,,,,,PRUNED
43,0.07229570090456239,2026-05-10 11:21:52.609685,2026-05-10 11:22:28.396578,0 days 00:00:35.786893,2,CAP_LAYER,0.35,ETF_DEFENSIVE,0.8,3,0.03,0.01,0.6,0.08,5,0.5,10,0.5,,,,,,PRUNED
44,-0.41330879348780836,2026-05-10 11:22:28.421180,2026-05-10 11:23:45.147623,0 days 00:01:16.726443,2,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.45,0.08,12,0.6,10,0.65,-0.0671717405678881,0.1502139004085253,0.6922741058398405,0.2173856409764134,,COMPLETE
