number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
22,-0.5916862157057383,2026-05-08 11:22:55.838123,2026-05-08 11:22:55.991387,0 days 00:00:00.153264,2,0.05,0.01,0.45,0.08,30,5,0.8,-0.46664711522588725,0.0046344150875941015,0.25007820095970207,0.47128153031348136,COMPLETE
23,-0.5808079879707687,2026-05-08 11:22:55.999939,2026-05-08 11:22:56.163413,0 days 00:00:00.163474,2,0.05,0.01,0.6,0.08,30,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
24,-0.5808079879707687,2026-05-08 11:22:56.172339,2026-05-08 11:22:56.321566,0 days 00:00:00.149227,2,0.05,0.01,0.6,0.08,30,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
25,-0.5968016608986657,2026-05-08 11:22:56.330265,2026-05-08 11:22:56.430291,0 days 00:00:00.100026,2,0.03,0.01,0.6,0.08,30,20,0.8,,,,,PRUNED
26,-0.5808079879707687,2026-05-08 11:22:56.438838,2026-05-08 11:22:56.602917,0 days 00:00:00.164079,2,0.05,0.01,0.6,0.08,50,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
27,-0.5808079879707687,2026-05-08 11:22:56.612289,2026-05-08 11:22:56.767525,0 days 00:00:00.155236,2,0.05,0.01,0.6,0.08,30,20,0.65,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
28,-0.5928193994794824,2026-05-08 11:22:56.776856,2026-05-08 11:22:56.870509,0 days 00:00:00.093653,3,0.05,0.02,0.6,0.08,30,5,0.8,,,,,PRUNED
29,-0.5889750732331619,2026-05-08 11:22:56.878951,2026-05-08 11:22:56.967621,0 days 00:00:00.088670,2,0.05,0.01,0.6,0.12,30,20,0.8,,,,,PRUNED
30,-0.6017651620192361,2026-05-08 11:22:56.976033,2026-05-08 11:22:57.070953,0 days 00:00:00.094920,2,0.05,0.02,0.6,0.16,30,20,0.8,,,,,PRUNED
31,-0.5808079879707687,2026-05-08 11:22:57.079720,2026-05-08 11:22:57.237292,0 days 00:00:00.157572,2,0.05,0.01,0.6,0.08,20,20,0.8,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
