timestamp,action,name,code,price,shares,position,profit,level,date,year_month,label
2019-02-01 09:37:00,止盈,中概互联,513050.XSHG,1.187,4700.0,23900,112.24,-5.0,2019-02-01,2019-02,"中概互联
513050.XSHG"
2019-02-01 11:13:00,止盈,500ETF,510500.XSHG,4.547,1100.0,10100,98.5,-1.0,2019-02-01,2019-02,"500ETF
510500.XSHG"
2019-02-01 13:41:00,止盈,医药ETF,512010.XSHG,1.37,3700.0,30200,99.39,-2.0,2019-02-01,2019-02,"医药ETF
512010.XSHG"
2019-02-11 09:39:00,止盈,500ETF,510500.XSHG,4.639,1100.0,9000,100.69,-2.0,2019-02-11,2019-02,"500ETF
510500.XSHG"
2019-02-11 11:11:00,止盈,医药ETF,512010.XSHG,1.398,3700.0,26500,103.08,-3.0,2019-02-11,2019-02,"医药ETF
512010.XSHG"
2019-02-12 09:39:00,止盈,医药ETF,512010.XSHG,1.426,3700.0,22800,103.07,-4.0,2019-02-12,2019-02,"医药ETF
512010.XSHG"
2019-02-12 09:54:00,止盈,500ETF,510500.XSHG,4.733,1100.0,7900,102.88,-3.0,2019-02-12,2019-02,"500ETF
510500.XSHG"
2019-02-12 10:42:00,止盈,纳指ETF,513100.XSHG,2.456,2200.0,15600,107.26,-3.0,2019-02-12,2019-02,"纳指ETF
513100.XSHG"
2019-02-12 14:55:00,止盈,中概互联,513050.XSHG,1.211,4700.0,19200,112.23,-6.0,2019-02-12,2019-02,"中概互联
513050.XSHG"
2019-02-13 10:45:00,止盈,医药ETF,512010.XSHG,1.455,3700.0,19100,106.76,-5.0,2019-02-13,2019-02,"医药ETF
512010.XSHG"
2019-02-13 13:54:00,止盈,500ETF,510500.XSHG,4.829,1100.0,6800,105.07,-4.0,2019-02-13,2019-02,"500ETF
510500.XSHG"
2019-02-18 10:42:00,止盈,500ETF,510500.XSHG,4.926,1100.0,5700,106.16,-5.0,2019-02-18,2019-02,"500ETF
510500.XSHG"
2019-02-18 10:45:00,止盈,医药ETF,512010.XSHG,1.485,3700.0,15400,110.45,-6.0,2019-02-18,2019-02,"医药ETF
512010.XSHG"
2019-02-19 09:31:00,止盈,500ETF,510500.XSHG,5.03,1100.0,4600,113.85,-6.0,2019-02-19,2019-02,"500ETF
510500.XSHG"
2019-02-19 10:17:00,止盈,黄金ETF,518880.XSHG,2.883,1700.0,15900,96.41,-1.0,2019-02-19,2019-02,"黄金ETF
518880.XSHG"
2019-02-20 10:06:00,加仓,医药ETF,512010.XSHG,1.455,3700.0,19100,,-5.0,2019-02-20,2019-02,"医药ETF
512010.XSHG"
2019-02-22 14:59:00,止盈,500ETF,510500.XSHG,5.132,1100.0,3500,111.64,-7.0,2019-02-22,2019-02,"500ETF
510500.XSHG"
2019-02-25 09:32:00,止盈,医药ETF,512010.XSHG,1.486,3700.0,15400,114.15,-6.0,2019-02-25,2019-02,"医药ETF
512010.XSHG"
2019-02-25 09:43:00,止盈,500ETF,510500.XSHG,5.239,1100.0,2400,117.12,-8.0,2019-02-25,2019-02,"500ETF
510500.XSHG"
2019-02-25 13:03:00,破顶,500ETF,510500.XSHG,5.347,,9300,,,2019-02-25,2019-02,"500ETF
510500.XSHG"
2019-02-25 13:03:00,止盈,医药ETF,512010.XSHG,1.517,3700.0,11700,114.14,-7.0,2019-02-25,2019-02,"医药ETF
512010.XSHG"
2019-02-25 14:54:00,止盈,中概互联,513050.XSHG,1.236,4700.0,14500,116.92,-7.0,2019-02-25,2019-02,"中概互联
513050.XSHG"
2019-02-25 14:57:00,止盈,500ETF,510500.XSHG,5.462,900.0,8400,103.01,-1.0,2019-02-25,2019-02,"500ETF
510500.XSHG"
2019-02-26 09:51:00,止盈,医药ETF,512010.XSHG,1.548,3700.0,8000,114.13,-8.0,2019-02-26,2019-02,"医药ETF
512010.XSHG"
2019-02-26 09:57:00,破顶,医药ETF,512010.XSHG,1.581,,31600,,,2019-02-26,2019-02,"医药ETF
512010.XSHG"
2019-02-26 14:35:00,加仓,医药ETF,512010.XSHG,1.546,3100.0,34700,,1.0,2019-02-26,2019-02,"医药ETF
512010.XSHG"
2019-02-27 14:22:00,加仓,500ETF,510500.XSHG,5.343,900.0,9300,,0.0,2019-02-27,2019-02,"500ETF
510500.XSHG"
2019-03-01 09:31:00,止盈,医药ETF,512010.XSHG,1.583,3100.0,31600,114.21,0.0,2019-03-01,2019-03,"医药ETF
512010.XSHG"
2019-03-01 13:52:00,加仓,黄金ETF,518880.XSHG,2.825,1700.0,17600,,0.0,2019-03-01,2019-03,"黄金ETF
518880.XSHG"
2019-03-04 09:31:00,止盈,500ETF,510500.XSHG,5.464,900.0,8400,108.41,-1.0,2019-03-04,2019-03,"500ETF
510500.XSHG"
2019-03-04 10:06:00,止盈,纳指ETF,513100.XSHG,2.506,2200.0,13400,109.45,-4.0,2019-03-04,2019-03,"纳指ETF
513100.XSHG"
2019-03-04 11:11:00,止盈,500ETF,510500.XSHG,5.578,900.0,7500,102.1,-2.0,2019-03-04,2019-03,"500ETF
510500.XSHG"
2019-03-04 13:06:00,止盈,医药ETF,512010.XSHG,1.616,3100.0,28500,101.8,-1.0,2019-03-04,2019-03,"医药ETF
512010.XSHG"
2019-03-04 14:15:00,加仓,医药ETF,512010.XSHG,1.582,3100.0,31600,,0.0,2019-03-04,2019-03,"医药ETF
512010.XSHG"
2019-03-04 14:37:00,加仓,500ETF,510500.XSHG,5.461,900.0,8400,,-1.0,2019-03-04,2019-03,"500ETF
510500.XSHG"
