number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
79,-0.5436071161143593,2026-05-14 00:44:45.758316,2026-05-14 00:47:11.375708,0 days 00:02:25.617392,0,CAP_LAYER,0.35,SAME,0.7,2,0.05,0.01,0.6,0.12,6,2,0.5,5,WIDE_V2,0.5,-0.15343412662203873,0.03683973363310422,0.7803459789846411,0.19027386025514295,,COMPLETE
80,0.14061921736808508,2026-05-14 00:47:11.401640,2026-05-14 00:48:28.007875,0 days 00:01:16.606235,0,NORMAL,0.25,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
81,0.19509387615704055,2026-05-14 00:48:28.032739,2026-05-14 00:49:47.398215,0 days 00:01:19.365476,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.3,0.16,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
82,-9999.0,2026-05-14 00:49:47.423715,2026-05-14 00:49:47.807673,0 days 00:00:00.383958,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
83,0.2216963336242472,2026-05-14 00:49:47.831710,2026-05-14 00:51:03.730510,0 days 00:01:15.898800,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
84,-0.4667588834884514,2026-05-14 00:51:03.757852,2026-05-14 00:51:19.927338,0 days 00:00:16.169486,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,8,1,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
85,0.13888864584432534,2026-05-14 00:51:19.952091,2026-05-14 00:52:45.663035,0 days 00:01:25.710944,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,5,1,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
86,-0.5937721409005412,2026-05-14 00:52:45.690042,2026-05-14 00:55:04.969454,0 days 00:02:19.279412,0,NO_NET_ADD,0.45,SAME,0.9,2,0.03,0.01,0.6,0.12,6,1,0.5,5,WIDE_V2,0.5,-0.2204650149746925,0.02484212676453536,0.7466142518516975,0.24530714173922788,,COMPLETE
87,-9999.0,2026-05-14 00:55:04.995327,2026-05-14 00:55:05.373004,0 days 00:00:00.377677,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.6,0.16,3,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
88,0.11748188241755488,2026-05-14 00:55:05.399100,2026-05-14 00:56:24.560925,0 days 00:01:19.161825,1,NO_NET_ADD,0.45,SAME,0.7,3,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
89,0.1792098955805274,2026-05-14 00:56:24.586641,2026-05-14 00:57:39.596719,0 days 00:01:15.010078,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
90,0.1441994199199963,2026-05-14 00:57:39.622411,2026-05-14 00:58:56.283671,0 days 00:01:16.661260,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.6,0.16,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
91,0.1433211901973205,2026-05-14 00:58:56.311752,2026-05-14 01:00:31.257163,0 days 00:01:34.945411,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,10,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
92,-0.37370166333671867,2026-05-14 01:00:31.283390,2026-05-14 01:02:55.936242,0 days 00:02:24.652852,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.45,0.12,4,2,0.5,5,WIDE_V2,0.5,-0.04162047348699132,0.12297398056032519,0.6641623796994547,0.1645944540473165,,COMPLETE
93,0.228931497087602,2026-05-14 01:02:55.960798,2026-05-14 01:04:26.519539,0 days 00:01:30.558741,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,8,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
94,0.040577850299539114,2026-05-14 01:04:26.543780,2026-05-14 01:05:44.619138,0 days 00:01:18.075358,1,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.3,0.12,10,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
95,0.20219210174997804,2026-05-14 01:05:44.646653,2026-05-14 01:07:09.449678,0 days 00:01:24.803025,1,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.65,,,,,,PRUNED
96,0.19813380999995128,2026-05-14 01:07:09.474440,2026-05-14 01:08:27.422582,0 days 00:01:17.948142,1,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
97,-9999.0,2026-05-14 01:08:27.448665,2026-05-14 01:08:27.806202,0 days 00:00:00.357537,0,NORMAL,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,3,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
98,-0.31605091683366315,2026-05-14 01:08:27.833907,2026-05-14 01:10:41.147853,0 days 00:02:13.313946,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
99,0.11237221172779766,2026-05-14 01:10:41.173115,2026-05-14 01:11:46.317819,0 days 00:01:05.144704,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.6,0.12,6,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
100,0.1308844848786164,2026-05-14 01:11:46.338869,2026-05-14 01:12:32.622489,0 days 00:00:46.283620,0,NO_NET_ADD,0.45,SAME,0.8,2,0.03,0.01,0.6,0.12,3,1,0.6,10,WIDE_V2,0.5,,,,,,PRUNED
101,-0.047688896830352656,2026-05-14 01:12:32.649226,2026-05-14 01:12:57.507454,0 days 00:00:24.858228,0,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.3,0.12,3,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
102,-0.37080986285526213,2026-05-14 01:12:57.532277,2026-05-14 01:15:08.366569,0 days 00:02:10.834292,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.65,-0.05288212679772781,0.004115475622955841,0.6358554721150687,0.05699760242068365,,COMPLETE
103,-0.5168582403067271,2026-05-14 01:15:08.392164,2026-05-14 01:17:30.277541,0 days 00:02:21.885377,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.12,6,1,0.5,5,WIDE_V2,0.5,-0.12559370918184184,0.04348610368785912,0.7825290622497705,0.16907981286970097,,COMPLETE
104,0.1571296519268504,2026-05-14 01:17:30.301562,2026-05-14 01:18:10.060660,0 days 00:00:39.759098,0,NO_NET_ADD,0.35,SAME,0.7,2,0.03,0.01,0.3,0.08,3,1,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
105,-0.31605091683366315,2026-05-14 01:18:10.086695,2026-05-14 01:18:10.712083,0 days 00:00:00.625388,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
106,0.18370227486052815,2026-05-14 01:18:10.736640,2026-05-14 01:19:33.729848,0 days 00:01:22.993208,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,1,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
107,0.21501248244601504,2026-05-14 01:19:33.755756,2026-05-14 01:20:49.483866,0 days 00:01:15.728110,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
108,0.13443284382348797,2026-05-14 01:20:49.507553,2026-05-14 01:21:29.570866,0 days 00:00:40.063313,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.02,0.6,0.12,3,1,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
109,0.228931497087602,2026-05-14 01:21:29.594608,2026-05-14 01:22:59.864684,0 days 00:01:30.270076,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,8,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
110,-0.31605091683366315,2026-05-14 01:22:59.890102,2026-05-14 01:25:17.645066,0 days 00:02:17.754964,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
111,0.03657792754368369,2026-05-14 01:25:17.672341,2026-05-14 01:26:14.865654,0 days 00:00:57.193313,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
112,-0.3568721911257548,2026-05-14 01:26:14.889385,2026-05-14 01:28:31.084248,0 days 00:02:16.194863,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.12,3,2,0.5,5,WIDE_V2,0.65,-0.0325573100604155,0.02475740427125146,0.6486297621306786,0.05731471433166696,,COMPLETE
113,0.15575395957387,2026-05-14 01:28:31.110814,2026-05-14 01:29:44.848427,0 days 00:01:13.737613,0,NO_NET_ADD,0.35,SAME,0.7,2,0.03,0.02,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
114,-0.31605091683366315,2026-05-14 01:29:44.873088,2026-05-14 01:29:45.493969,0 days 00:00:00.620881,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
115,-0.32030519534532653,2026-05-14 01:29:45.520674,2026-05-14 01:32:05.050063,0 days 00:02:19.529389,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.04966859615236728,-0.014699269250158742,0.5412731983859185,0.03496932690220854,,COMPLETE
116,-0.31605091683366315,2026-05-14 01:32:05.071436,2026-05-14 01:32:05.670494,0 days 00:00:00.599058,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
117,-0.31581485712334734,2026-05-14 01:32:05.715870,2026-05-14 01:34:18.973226,0 days 00:02:13.257356,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
118,-0.31581485712334734,2026-05-14 01:34:18.997063,2026-05-14 01:34:19.594117,0 days 00:00:00.597054,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
119,0.18370227486052815,2026-05-14 01:34:19.620861,2026-05-14 01:35:34.613274,0 days 00:01:14.992413,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.08,3,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
120,0.2249671626961456,2026-05-14 01:35:34.639207,2026-05-14 01:36:51.454525,0 days 00:01:16.815318,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
121,-0.003802515429392528,2026-05-14 01:36:51.479062,2026-05-14 01:37:24.285911,0 days 00:00:32.806849,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.16,6,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
122,0.17210741668826024,2026-05-14 01:37:24.310594,2026-05-14 01:38:09.013762,0 days 00:00:44.703168,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
123,0.21688645515571847,2026-05-14 01:38:09.043230,2026-05-14 01:39:25.878240,0 days 00:01:16.835010,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.16,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
124,-0.3892210094515642,2026-05-14 01:39:25.902357,2026-05-14 01:43:21.676199,0 days 00:03:55.773842,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,4,2,0.6,5,WIDE_V2,0.5,-0.028801341192202474,0.16472094775237048,0.7208393365187235,0.19352228894457296,,COMPLETE
125,0.135320016824038,2026-05-14 01:43:21.704952,2026-05-14 01:44:38.287370,0 days 00:01:16.582418,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
126,0.15664319641285537,2026-05-14 01:44:38.312673,2026-05-14 01:45:36.206936,0 days 00:00:57.894263,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.9,2,0.03,0.02,0.6,0.12,4,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
127,0.060319383577131354,2026-05-14 01:45:36.231921,2026-05-14 01:46:30.886782,0 days 00:00:54.654861,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
128,0.23085064372533984,2026-05-14 01:46:30.912777,2026-05-14 01:47:45.473779,0 days 00:01:14.561002,0,NORMAL,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
129,0.11985215005848815,2026-05-14 01:47:45.497860,2026-05-14 01:49:25.196082,0 days 00:01:39.698222,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,10,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
130,-0.3679494020968508,2026-05-14 01:49:25.223228,2026-05-14 01:49:37.048301,0 days 00:00:11.825073,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
131,-0.003424689479239851,2026-05-14 01:49:37.072076,2026-05-14 01:50:29.766893,0 days 00:00:52.694817,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.8,3,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
132,-0.03169413910195332,2026-05-14 01:50:29.793218,2026-05-14 01:50:55.234776,0 days 00:00:25.441558,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
133,0.2008591684228906,2026-05-14 01:50:55.257271,2026-05-14 01:52:11.424567,0 days 00:01:16.167296,0,CAP_LAYER,0.25,SAME,0.7,2,0.05,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
134,0.20719633298727433,2026-05-14 01:52:11.465930,2026-05-14 01:53:25.399194,0 days 00:01:13.933264,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.02,0.45,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
135,-9999.0,2026-05-14 01:53:25.423510,2026-05-14 01:53:25.809826,0 days 00:00:00.386316,0,NO_NET_ADD,0.45,SAME,0.7,3,0.03,0.02,0.3,0.08,3,2,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
136,-0.37400329957784056,2026-05-14 01:53:25.836833,2026-05-14 01:53:30.873135,0 days 00:00:05.036302,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.02,0.3,0.08,3,2,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
137,0.23083644029256656,2026-05-14 01:53:30.898855,2026-05-14 01:55:06.246099,0 days 00:01:35.347244,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,8,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
138,0.11607348188795849,2026-05-14 01:55:06.272230,2026-05-14 01:55:46.467257,0 days 00:00:40.195027,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,10,1,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
139,0.22886208826828963,2026-05-14 01:55:46.490373,2026-05-14 01:57:02.700136,0 days 00:01:16.209763,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,3,2,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
140,0.22803878203198572,2026-05-14 01:57:02.725847,2026-05-14 01:58:21.604895,0 days 00:01:18.879048,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.02,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
141,-0.31605091683366315,2026-05-14 01:58:21.630428,2026-05-14 02:02:09.202710,0 days 00:03:47.572282,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.45,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
142,0.21501248244601504,2026-05-14 02:02:09.225343,2026-05-14 02:03:22.713283,0 days 00:01:13.487940,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
143,0.21779086095387198,2026-05-14 02:03:22.736405,2026-05-14 02:04:38.523090,0 days 00:01:15.786685,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.16,3,1,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
144,-0.31605091683366315,2026-05-14 02:04:38.550330,2026-05-14 02:04:39.157629,0 days 00:00:00.607299,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
145,0.1792098955805274,2026-05-14 02:04:39.184784,2026-05-14 02:05:52.796169,0 days 00:01:13.611385,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
146,0.0402044351891133,2026-05-14 02:05:52.824150,2026-05-14 02:06:46.872494,0 days 00:00:54.048344,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.05,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
147,-0.05358680178328021,2026-05-14 02:06:46.895538,2026-05-14 02:07:57.226003,0 days 00:01:10.330465,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.02,0.6,0.12,10,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
148,-0.323884189756837,2026-05-14 02:07:57.254778,2026-05-14 02:10:10.103311,0 days 00:02:12.848533,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.04773060333166755,-0.004092507315860254,0.5523071728503389,0.043638096015807294,,COMPLETE
149,0.22005284154479607,2026-05-14 02:10:10.127453,2026-05-14 02:11:24.254187,0 days 00:01:14.126734,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.02,0.3,0.08,3,2,0.7,5,WIDE_V2,0.5,,,,,,PRUNED
150,0.19574053967485325,2026-05-14 02:11:24.462996,2026-05-14 02:12:41.412908,0 days 00:01:16.949912,0,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
151,-0.31605091683366315,2026-05-14 02:12:41.438677,2026-05-14 02:12:42.043686,0 days 00:00:00.605009,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.45,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
152,0.17330145729923901,2026-05-14 02:12:42.067693,2026-05-14 02:13:56.381564,0 days 00:01:14.313871,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
153,0.1395303126839163,2026-05-14 02:13:56.407638,2026-05-14 02:15:12.251584,0 days 00:01:15.843946,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.3,0.16,3,2,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
154,0.15874310465023664,2026-05-14 02:15:12.275784,2026-05-14 02:16:35.885728,0 days 00:01:23.609944,0,NORMAL,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.8,,,,,,PRUNED
155,0.20952412768962436,2026-05-14 02:16:35.909371,2026-05-14 02:17:50.405079,0 days 00:01:14.495708,0,CAP_LAYER,0.35,SAME,0.7,2,0.03,0.02,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
156,-0.31581485712334734,2026-05-14 02:17:50.429906,2026-05-14 02:20:02.728510,0 days 00:02:12.298604,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
157,-0.31581485712334734,2026-05-14 02:20:02.775505,2026-05-14 02:22:15.459808,0 days 00:02:12.684303,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
158,-0.4512664208708941,2026-05-14 02:22:15.487157,2026-05-14 02:22:26.854738,0 days 00:00:11.367581,0,NORMAL,0.35,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
159,-0.31581485712334734,2026-05-14 02:22:26.876738,2026-05-14 02:22:27.457080,0 days 00:00:00.580342,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
160,-0.323884189756837,2026-05-14 02:22:27.480626,2026-05-14 02:24:43.067281,0 days 00:02:15.586655,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.04773060333166755,-0.004092507315860254,0.5523071728503389,0.043638096015807294,,COMPLETE
161,0.15182472406402575,2026-05-14 02:24:43.090772,2026-05-14 02:25:24.766570,0 days 00:00:41.675798,1,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,2,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
162,-0.36247780743059715,2026-05-14 02:25:24.791292,2026-05-14 02:25:29.894343,0 days 00:00:05.103051,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,3,1,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
163,-9999.0,2026-05-14 02:25:29.915877,2026-05-14 02:25:30.239810,0 days 00:00:00.323933,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.3,0.08,6,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
164,-0.37484301076910703,2026-05-14 02:25:30.261512,2026-05-14 02:27:49.572132,0 days 00:02:19.310620,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.3,0.08,4,1,0.5,5,WIDE_V2,0.5,-0.02717138606122755,0.14670585028766497,0.695343249415759,0.17387723634889252,,COMPLETE
165,-0.31581485712334734,2026-05-14 02:27:49.600707,2026-05-14 02:27:50.189494,0 days 00:00:00.588787,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
166,0.15898084156683367,2026-05-14 02:27:50.213854,2026-05-14 02:28:30.023810,0 days 00:00:39.809956,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.3,0.12,3,1,0.5,10,WIDE_V2,0.5,,,,,,PRUNED
167,-0.40891489735140996,2026-05-14 02:28:30.049425,2026-05-14 02:30:46.722050,0 days 00:02:16.672625,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.01,0.3,0.12,4,1,0.5,5,WIDE_V2,0.5,-0.06268265171207073,0.08257996046546627,0.6924644912786785,0.145262612177537,,COMPLETE
168,-0.317445320131483,2026-05-14 02:30:46.747772,2026-05-14 02:33:00.231701,0 days 00:02:13.483929,0,CAP_LAYER,0.45,SAME,0.7,3,0.05,0.02,0.6,0.08,3,1,0.5,5,WIDE_V2,0.5,-0.043209034866831204,-0.010201229838410247,0.5484725705293036,0.03300780502842096,,COMPLETE
169,-0.06864232132402648,2026-05-14 02:33:00.255087,2026-05-14 02:33:41.447423,0 days 00:00:41.192336,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.6,10,WIDE_V2,0.8,,,,,,PRUNED
170,-0.31947891662821226,2026-05-14 02:33:41.474971,2026-05-14 02:35:54.349418,0 days 00:02:12.874447,0,CAP_LAYER,0.45,SAME,0.8,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.046712287461844575,-0.037564774188069604,0.5455332583327354,0.009147513273774971,,COMPLETE
171,-0.31581485712334734,2026-05-14 02:35:54.390314,2026-05-14 02:35:55.001249,0 days 00:00:00.610935,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
172,-0.31581485712334734,2026-05-14 02:35:55.027886,2026-05-14 02:35:55.656228,0 days 00:00:00.628342,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,3,2,0.5,5,WIDE_V2,0.5,-0.04081441550343596,0.0015564414249567321,0.5500008832398228,0.042370856928392694,,COMPLETE
