number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
17,-0.42234930198752973,2026-05-13 23:26:02.161233,2026-05-13 23:26:09.253970,0 days 00:00:07.092737,1,NORMAL,0.45,ETF_DEFENSIVE,0.7,3,0.05,0.01,0.3,0.08,5,2,0.5,10,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
18,-0.5553428551227249,2026-05-13 23:26:09.278810,2026-05-13 23:26:53.930748,0 days 00:00:44.651938,1,CAP_LAYER,0.45,ETF_DEFENSIVE,0.8,3,0.05,0.01,0.3,0.16,5,1,0.5,10,WIDE_V2,0.5,-0.2074390827366291,0.015545062076129641,0.6958075447721916,0.22298414481275872,,COMPLETE
19,-0.546441785494363,2026-05-13 23:26:53.953868,2026-05-13 23:27:33.643977,0 days 00:00:39.690109,1,NORMAL,0.45,ETF_DEFENSIVE,0.8,2,0.03,0.01,0.45,0.12,5,1,0.5,10,WIDE_V2,0.5,-0.20074698656185389,0.050367817201087114,0.6913895978650181,0.251114803762941,,COMPLETE
20,-0.27057171582757866,2026-05-13 23:27:33.666441,2026-05-13 23:28:08.533318,0 days 00:00:34.866877,1,NORMAL,0.45,ETF_DEFENSIVE,0.8,2,0.03,0.02,0.3,0.16,5,2,0.5,10,WIDE_V2,0.8,,,,,,PRUNED
21,-0.546441785494363,2026-05-13 23:28:08.556318,2026-05-13 23:28:09.116730,0 days 00:00:00.560412,1,NORMAL,0.45,ETF_DEFENSIVE,0.8,2,0.03,0.01,0.45,0.12,5,1,0.5,10,WIDE_V2,0.5,-0.20074698656185389,0.050367817201087114,0.6913895978650181,0.251114803762941,,COMPLETE
22,-0.5341084976221846,2026-05-13 23:28:09.144783,2026-05-13 23:30:39.347931,0 days 00:02:30.203148,1,NORMAL,0.45,SAME,0.8,2,0.05,0.01,0.3,0.16,5,2,0.7,10,WIDE_V2,0.5,-0.1338046042947265,0.10364640822743006,0.8006077866549162,0.23745101252215656,,COMPLETE
23,-9999.0,2026-05-13 23:30:39.370172,2026-05-13 23:30:39.708802,0 days 00:00:00.338630,1,NORMAL,0.25,SAME,0.7,2,0.05,0.01,0.3,0.16,4,2,0.7,10,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.25 / 0.7 / 0.7,COMPLETE
24,-0.5775971900612626,2026-05-13 23:30:39.732355,2026-05-13 23:35:25.852595,0 days 00:04:46.120240,1,NORMAL,0.45,SAME,0.8,4,0.05,0.01,0.3,0.16,5,2,0.7,5,WIDE_V2,0.5,-0.20394311901094894,-0.027744427753357344,0.7473081421006275,0.1761986912575916,,COMPLETE
25,-0.06680980271030457,2026-05-13 23:35:25.873637,2026-05-13 23:35:55.523769,0 days 00:00:29.650132,1,NORMAL,0.35,SAME,0.8,2,0.05,0.01,0.3,0.16,3,2,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
26,-0.47731404382997694,2026-05-13 23:35:55.545422,2026-05-13 23:38:07.095140,0 days 00:02:11.549718,1,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.3,0.08,5,2,0.5,5,WIDE_V2,0.5,-0.11857543771352279,0.05850678261875053,0.7174772122329083,0.17708222033227333,,COMPLETE
27,0.08776131309760257,2026-05-13 23:38:07.118481,2026-05-13 23:39:03.145297,0 days 00:00:56.026816,1,NO_NET_ADD,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.02,0.3,0.08,5,2,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
28,0.06869059376704631,2026-05-13 23:39:03.172073,2026-05-13 23:40:35.389167,0 days 00:01:32.217094,0,NORMAL,0.35,SAME,0.8,2,0.03,0.01,0.3,0.08,10,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
29,-0.5556201698810451,2026-05-13 23:40:35.415337,2026-05-13 23:40:55.783489,0 days 00:00:20.368152,1,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.3,0.08,8,2,0.5,20,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
30,-0.6214255185902038,2026-05-13 23:40:55.809206,2026-05-13 23:44:45.866199,0 days 00:03:50.056993,1,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.45,0.08,5,2,0.5,5,WIDE_V2,0.8,-0.2088938091214884,0.07653051008184622,0.8250634189374307,0.2854243192033346,,COMPLETE
31,-0.5339878179589292,2026-05-13 23:44:45.893737,2026-05-13 23:46:11.991598,0 days 00:01:26.097861,1,NORMAL,0.45,SAME,0.8,2,0.05,0.02,0.45,0.16,5,2,0.7,10,WIDE_V2,0.5,-0.13372660948833257,0.10364100790594903,0.8005224169411933,0.23736761739428158,,COMPLETE
32,-0.5433046098532035,2026-05-13 23:46:12.017665,2026-05-13 23:47:24.098456,0 days 00:01:12.080791,1,NORMAL,0.45,SAME,0.9,2,0.05,0.02,0.45,0.16,5,2,0.7,10,WIDE_V2,0.5,-0.1319098505898701,0.11464330408994096,0.8227895185266668,0.24655315467981104,,COMPLETE
33,-0.5371430349530388,2026-05-13 23:47:24.122544,2026-05-13 23:48:33.313533,0 days 00:01:09.190989,1,NORMAL,0.45,SAME,0.8,2,0.03,0.01,0.3,0.12,5,2,0.7,10,WIDE_V2,0.5,-0.13957969264357575,0.10681357219562652,0.7951266846189261,0.24639326483920226,,COMPLETE
34,-0.45756154033646224,2026-05-13 23:48:33.338421,2026-05-13 23:50:47.586424,0 days 00:02:14.248003,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,5,2,0.5,5,WIDE_V2,0.5,-0.10062055895350795,0.06077579629534386,0.7138819627659085,0.16139635524885182,,COMPLETE
35,0.11201822032690742,2026-05-13 23:50:47.610340,2026-05-13 23:52:14.542147,0 days 00:01:26.931807,1,NO_NET_ADD,0.45,SAME,0.7,2,0.05,0.01,0.3,0.08,5,2,0.5,5,WIDE_V2,0.65,,,,,,PRUNED
36,-0.34292046180355085,2026-05-13 23:52:14.567803,2026-05-13 23:54:34.177101,0 days 00:02:19.609298,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.16,3,2,0.5,5,WIDE_V2,0.5,-0.07580467428504908,-0.04360953505856683,0.5342315750370036,0.032195139226482254,,COMPLETE
37,-0.45380887175716494,2026-05-13 23:54:34.198600,2026-05-13 23:56:47.361438,0 days 00:02:13.162838,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,5,2,0.5,5,WIDE_V2,0.5,-0.09043541636360304,0.06726862257461694,0.7267469107871238,0.15770403893822,,COMPLETE
38,-9999.0,2026-05-13 23:56:47.386481,2026-05-13 23:56:47.767862,0 days 00:00:00.381381,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.08,5,2,0.7,5,ANCHOR_SATELLITE,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
39,-0.33208002362227534,2026-05-13 23:56:47.792535,2026-05-13 23:59:02.771296,0 days 00:02:14.978761,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.06307100427019345,-0.026433502097220795,0.5380180387041638,0.03663750217297265,,COMPLETE
40,-0.3670532374552245,2026-05-13 23:59:02.798663,2026-05-14 00:01:14.373705,0 days 00:02:11.575042,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.6,5,WIDE_V2,0.5,-0.0824633846655028,-0.01389123393446197,0.5691797055794434,0.06857215073104084,,COMPLETE
41,-0.33208002362227534,2026-05-14 00:01:14.399060,2026-05-14 00:01:15.001715,0 days 00:00:00.602655,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.06307100427019345,-0.026433502097220795,0.5380180387041638,0.03663750217297265,,COMPLETE
42,0.14074274473394974,2026-05-14 00:01:15.026230,2026-05-14 00:02:35.791645,0 days 00:01:20.765415,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,2,0.6,5,WIDE_V2,0.8,,,,,,PRUNED
43,-0.31605091683366315,2026-05-14 00:02:35.814756,2026-05-14 00:04:46.587266,0 days 00:02:10.772510,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
44,0.16602665744332995,2026-05-14 00:04:46.612702,2026-05-14 00:06:26.532122,0 days 00:01:39.919420,1,CAP_LAYER,0.45,SAME,0.9,3,0.03,0.01,0.3,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
